repo,urn,file,structure_signature
First1KGreek,tlg0007.tlg147.1st1K-grc1,tlg0007/tlg147/tlg0007.tlg147.1st1K-grc1.xml,line
First1KGreek,tlg0037.tlg001.1st1K-grc1,tlg0037/tlg001/tlg0037.tlg001.1st1K-grc1.xml,epistle
First1KGreek,tlg0044.tlg001.1st1K-grc1,tlg0044/tlg001/tlg0044.tlg001.1st1K-grc1.xml,epistle
First1KGreek,tlg0045.tlg001.1st1K-grc1,tlg0045/tlg001/tlg0045.tlg001.1st1K-grc1.xml,epistle
First1KGreek,tlg0046.tlg001.1st1K-grc1,tlg0046/tlg001/tlg0046.tlg001.1st1K-grc1.xml,epistle
First1KGreek,tlg0055.tlg001.1st1K-grc1,tlg0055/tlg001/tlg0055.tlg001.1st1K-grc1.xml,epistle
First1KGreek,tlg0057.tlg025.1st1K-grc1,tlg0057/tlg025/tlg0057.tlg025.1st1K-grc1.xml,work
First1KGreek,tlg0057.tlg035.1st1K-grc2,tlg0057/tlg035/tlg0057.tlg035.1st1K-grc2.xml,work
First1KGreek,tlg0057.tlg040.1st1K-grc1,tlg0057/tlg040/tlg0057.tlg040.1st1K-grc1.xml,book
First1KGreek,tlg0057.tlg084.1st1K-grc1,tlg0057/tlg084/tlg0057.tlg084.1st1K-grc1.xml,work
First1KGreek,tlg0057.tlg107.1st1K-grc1,tlg0057/tlg107/tlg0057.tlg107.1st1K-grc1.xml,work
First1KGreek,tlg0057.tlg114.1st1K-grc1,tlg0057/tlg114/tlg0057.tlg114.1st1K-grc1.xml,work
First1KGreek,tlg0059.tlg037.1st1K-grc1,tlg0059/tlg037/tlg0059.tlg037.1st1K-grc1.xml,work
First1KGreek,tlg0066.tlg001.1st1K-grc1,tlg0066/tlg001/tlg0066.tlg001.1st1K-grc1.xml,fragment+paragraph+l
First1KGreek,tlg0082.tlg001.1st1K-grc1,tlg0082/tlg001/tlg0082.tlg001.1st1K-grc1.xml,paragraph+l
First1KGreek,tlg0082.tlg002.1st1K-grc1,tlg0082/tlg002/tlg0082.tlg002.1st1K-grc1.xml,paragraph+l
First1KGreek,tlg0083.tlg003.1st1K-grc1,tlg0083/tlg003/tlg0083.tlg003.1st1K-grc1.xml,fragment
First1KGreek,tlg0086.tlg003.1st1K-grc1,tlg0086/tlg003/tlg0086.tlg003.1st1K-grc1.xml,paragraph+l
First1KGreek,tlg0086.tlg011.1st1K-grc1,tlg0086/tlg011/tlg0086.tlg011.1st1K-grc1.xml,epistle
First1KGreek,tlg0087.tlg001.1st1K-grc1,tlg0087/tlg001/tlg0087.tlg001.1st1K-grc1.xml,book+l
First1KGreek,tlg0087.tlg004.1st1K-grc1,tlg0087/tlg004/tlg0087.tlg004.1st1K-grc1.xml,paragraph+l
First1KGreek,tlg0087.tlg005.1st1K-grc1,tlg0087/tlg005/tlg0087.tlg005.1st1K-grc1.xml,book
First1KGreek,tlg0087.tlg006.1st1K-grc1,tlg0087/tlg006/tlg0087.tlg006.1st1K-grc1.xml,book
First1KGreek,tlg0087.tlg007.1st1K-grc1,tlg0087/tlg007/tlg0087.tlg007.1st1K-grc1.xml,book+paragraph
First1KGreek,tlg0087.tlg008.1st1K-grc1,tlg0087/tlg008/tlg0087.tlg008.1st1K-grc1.xml,book+paragraph
First1KGreek,tlg0087.tlg009.1st1K-grc1,tlg0087/tlg009/tlg0087.tlg009.1st1K-grc1.xml,paragraph+l
First1KGreek,tlg0087.tlg014.1st1K-grc1,tlg0087/tlg014/tlg0087.tlg014.1st1K-grc1.xml,book
First1KGreek,tlg0087.tlg033.1st1K-grc1,tlg0087/tlg033/tlg0087.tlg033.1st1K-grc1.xml,book+paragraph+l
First1KGreek,tlg0087.tlg035.1st1K-grc1,tlg0087/tlg035/tlg0087.tlg035.1st1K-grc1.xml,page+part+l
First1KGreek,tlg0096.tlg002.opp-grc3,tlg0096/tlg002/tlg0096.tlg002.opp-grc3.xml,fable+section
First1KGreek,tlg0233.tlg001.1st1K-grc1,tlg0233/tlg001/tlg0233.tlg001.1st1K-grc1.xml,section
First1KGreek,tlg0319.tlg004.1st1K-grc1,tlg0319/tlg004/tlg0319.tlg004.1st1K-grc1.xml,fragment
First1KGreek,tlg0358.tlg004.1st1K-grc1,tlg0358/tlg004/tlg0358.tlg004.1st1K-grc1.xml,fragment
First1KGreek,tlg0362.tlg001.1st1K-grc1,tlg0362/tlg001/tlg0362.tlg001.1st1K-grc1.xml,section
First1KGreek,tlg0363.tlg011.1st1K-grc1,tlg0363/tlg011/tlg0363.tlg011.1st1K-grc1.xml,paragraph+l
First1KGreek,tlg0521.tlg008.1st1K-grc1,tlg0521/tlg008/tlg0521.tlg008.1st1K-grc1.xml,fragment
First1KGreek,tlg0527.tlg037.1st1K-grc1,tlg0527/tlg037/tlg0527.tlg037.1st1K-grc1.xml,chapter+verse
First1KGreek,tlg0527.tlg048.1st1K-eng1,tlg0527/tlg048/tlg0527.tlg048.1st1K-eng1.xml,chapter+heading+verse
First1KGreek,tlg0527.tlg048.1st1K-grc2,tlg0527/tlg048/tlg0527.tlg048.1st1K-grc2.xml,chapter+verse
First1KGreek,tlg0527.tlg048.1st1K-mul1,tlg0527/tlg048/tlg0527.tlg048.1st1K-mul1.xml,commentary+paragraph
First1KGreek,tlg0527.tlg048.1st1K-mul2,tlg0527/tlg048/tlg0527.tlg048.1st1K-mul2.xml,commentary+paragraph
First1KGreek,tlg0527.tlg052.1st1K-grc1,tlg0527/tlg052/tlg0527.tlg052.1st1K-grc1.xml,verse
First1KGreek,tlg0530.tlg032.1st1K-grc1,tlg0530/tlg032/tlg0530.tlg032.1st1K-grc1.xml,work
First1KGreek,tlg0533.tlg007.1st1K-grc1,tlg0533/tlg007/tlg0533.tlg007.1st1K-grc1.xml,poem+section
First1KGreek,tlg0533.tlg009.1st1K-grc1,tlg0533/tlg009/tlg0533.tlg009.1st1K-grc1.xml,poem+section
First1KGreek,tlg0541.tlg042.1st1K-grc2,tlg0541/tlg042/tlg0541.tlg042.1st1K-grc2.xml,sentence
First1KGreek,tlg0541.tlg042.1st1K-grc3,tlg0541/tlg042/tlg0541.tlg042.1st1K-grc3.xml,sentence
First1KGreek,tlg0545.tlg004.1st1K-grc1,tlg0545/tlg004/tlg0545.tlg004.1st1K-grc1.xml,fragment
First1KGreek,tlg0575.tlg001.1st1K-grc1,tlg0575/tlg001/tlg0575.tlg001.1st1K-grc1.xml,sentence
First1KGreek,tlg0575.tlg002.1st1K-grc1,tlg0575/tlg002/tlg0575.tlg002.1st1K-grc1.xml,sentence
First1KGreek,tlg0579.tlg010.1st1K-grc1,tlg0579/tlg010/tlg0579.tlg010.1st1K-grc1.xml,fragment
First1KGreek,tlg0591.1st1K001.1st1K-grc1,tlg0591/1st1K001/tlg0591.1st1K001.1st1K-grc1.xml,(none)
First1KGreek,tlg0591.1st1K002.1st1K-grc1,tlg0591/1st1K002/tlg0591.1st1K002.1st1K-grc1.xml,(none)
First1KGreek,tlg0614.tlg001.1st1K-grc1,tlg0614/tlg001/tlg0614.tlg001.1st1K-grc1.xml,book+chapter+section
First1KGreek,tlg0620.tlg002.1st1K-grc1,tlg0620/tlg002/tlg0620.tlg002.1st1K-grc1.xml,fragment
First1KGreek,tlg0626.tlg002.1st1K-grc1,tlg0626/tlg002/tlg0626.tlg002.1st1K-grc1.xml,fragment
First1KGreek,tlg0627.tlg012.1st1K-grc1,tlg0627/tlg012/tlg0627.tlg012.1st1K-grc1.xml,aphorism+book
First1KGreek,tlg0627.tlg040.1st1K-grc1,tlg0627/tlg040/tlg0627.tlg040.1st1K-grc1.xml,work
First1KGreek,tlg0628.tlg002.1st1K-grc1,tlg0628/tlg002/tlg0628.tlg002.1st1K-grc1.xml,fragment
First1KGreek,tlg0629.tlg001.1st1K-grc1,tlg0629/tlg001/tlg0629.tlg001.1st1K-grc1.xml,epistle
First1KGreek,tlg0632.tlg002.1st1K-grc1,tlg0632/tlg002/tlg0632.tlg002.1st1K-grc1.xml,epistle
First1KGreek,tlg0634.tlg001.1st1K-grc1,tlg0634/tlg001/tlg0634.tlg001.1st1K-grc1.xml,fragment
First1KGreek,tlg0643.opp001.1st1K-lat1,tlg0643/opp001/tlg0643.opp001.1st1K-lat1.xml,commentary+paragraph+l
First1KGreek,tlg0643.opp002.1st1K-lat1,tlg0643/opp002/tlg0643.opp002.1st1K-lat1.xml,commentary+paragraph
First1KGreek,tlg0643.tlg001.1st1K-grc2,tlg0643/tlg001/tlg0643.tlg001.1st1K-grc2.xml,commentary+sigla
First1KGreek,tlg0643.tlg001.1st1K-lat1,tlg0643/tlg001/tlg0643.tlg001.1st1K-lat1.xml,commentary+paragraph
