urn,path,author,title,suggested_genre,confidence,family,proposed_subclass,structure_signature,match,needs_review,recommended_genre,notes
urn:cts:latinLit:phi1348.abo022.perseus-eng2,phi1348/abo022/phi1348.abo022.perseus-eng2.xml,Suetonius,Domitianus,prose-chapter-section,high,prose,prose-chapter,chapter+l,ready,false,prose-chapter,
urn:cts:latinLit:phi1348.abo022.perseus-lat2,phi1348/abo022/phi1348.abo022.perseus-lat2.xml,Suetonius,Domitianus,prose-chapter-section,high,prose,prose-chapter-section,chapter+section+l,ready,false,prose-chapter-section,
urn:cts:latinLit:phi1351.phi001.perseus-eng1,phi1351/phi001/phi1351.phi001.perseus-eng1.xml,"Tacitus, Cornelius",Agricola,prose-chapter-section,high,prose,prose-chapter,chapter,ready,false,prose-chapter,
urn:cts:latinLit:phi1351.phi001.perseus-eng2,phi1351/phi001/phi1351.phi001.perseus-eng2.xml,"Tacitus, Cornelius",Agricola,prose-chapter-section,high,prose,prose-standard,(none),review,true,prose-standard,
urn:cts:latinLit:phi1351.phi001.perseus-lat1,phi1351/phi001/phi1351.phi001.perseus-lat1.xml,"Tacitus, Cornelius",Agricola,prose-chapter-section,high,prose,prose-chapter-section,chapter+section,ready,false,prose-chapter-section,
urn:cts:latinLit:phi1351.phi002.perseus-eng1,phi1351/phi002/phi1351.phi002.perseus-eng1.xml,"Tacitus, Cornelius",Germania,prose-chapter-section,high,prose,prose-standard,(none),review,true,prose-standard,
urn:cts:latinLit:phi1351.phi002.perseus-lat1,phi1351/phi002/phi1351.phi002.perseus-lat1.xml,"Tacitus, Cornelius",Germania,prose-chapter-section,high,prose,prose-chapter-section,chapter+section,ready,false,prose-chapter-section,
urn:cts:latinLit:phi1351.phi003.perseus-eng1,phi1351/phi003/phi1351.phi003.perseus-eng1.xml,"Tacitus, Cornelius",Dialogus,prose-section,medium,prose,prose-standard,(none),review,true,prose-standard,
urn:cts:latinLit:phi1351.phi003.perseus-lat1,phi1351/phi003/phi1351.phi003.perseus-lat1.xml,"Tacitus, Cornelius",Dialogus,prose-section,medium,prose,prose-standard,(none),review,true,prose-standard,
urn:cts:latinLit:phi1351.phi004.perseus-eng1,phi1351/phi004/phi1351.phi004.perseus-eng1.xml,"Tacitus, Cornelius",Historiae,prose-standard,high,prose,prose-standard,(none),review,true,prose-standard,
