urn,path,genre,structural_type,div_subtypes,milestone_units,issues
tlg0627.tlg024b.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0627/tlg024b/tlg0627.tlg024b.1st1K-grc1.xml,prose-philosophy,div-based,chapter,,
tlg0627.tlg025.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0627/tlg025/tlg0627.tlg025.1st1K-grc1.xml,prose-philosophy,div-based,chapter,,
tlg0627.tlg026.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0627/tlg026/tlg0627.tlg026.1st1K-grc1.xml,prose-philosophy,div-based,chapter,,
tlg0627.tlg027.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0627/tlg027/tlg0627.tlg027.1st1K-grc1.xml,prose-philosophy,div-based,chapter,,
tlg0627.tlg028.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0627/tlg028/tlg0627.tlg028.1st1K-grc1.xml,prose-philosophy,div-based,chapter,,
tlg0627.tlg029.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0627/tlg029/tlg0627.tlg029.1st1K-grc1.xml,prose-philosophy,div-based,chapter,,
tlg0627.tlg030.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0627/tlg030/tlg0627.tlg030.1st1K-grc1.xml,prose-philosophy,div-based,chapter,,
tlg0627.tlg031.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0627/tlg031/tlg0627.tlg031.1st1K-grc1.xml,prose-philosophy,div-based,book|chapter,,
tlg0627.tlg032.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0627/tlg032/tlg0627.tlg032.1st1K-grc1.xml,prose-philosophy,div-based,chapter,,
tlg0627.tlg033.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0627/tlg033/tlg0627.tlg033.1st1K-grc1.xml,prose-philosophy,div-based,chapter,,
tlg0627.tlg035.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0627/tlg035/tlg0627.tlg035.1st1K-grc1.xml,prose-philosophy,div-based,chapter,,
tlg0627.tlg036.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0627/tlg036/tlg0627.tlg036.1st1K-grc1.xml,prose-philosophy,div-based,book|chapter,,
tlg0627.tlg037.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0627/tlg037/tlg0627.tlg037.1st1K-grc1.xml,prose-philosophy,div-based,chapter,,
tlg0627.tlg038.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0627/tlg038/tlg0627.tlg038.1st1K-grc1.xml,prose-philosophy,div-based,chapter,,
tlg0627.tlg039.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0627/tlg039/tlg0627.tlg039.1st1K-grc1.xml,prose-philosophy,div-based,chapter,,
tlg0627.tlg040.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0627/tlg040/tlg0627.tlg040.1st1K-grc1.xml,prose-philosophy,div-based,work,,
tlg0627.tlg041.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0627/tlg041/tlg0627.tlg041.1st1K-grc1.xml,prose-philosophy,div-based,section,,
tlg0627.tlg042.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0627/tlg042/tlg0627.tlg042.1st1K-grc1.xml,prose-philosophy,div-based,chapter,,
tlg0627.tlg043.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0627/tlg043/tlg0627.tlg043.1st1K-grc1.xml,prose-philosophy,div-based,chapter,,
tlg0627.tlg045.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0627/tlg045/tlg0627.tlg045.1st1K-grc1.xml,prose-philosophy,div-based,chapter,,
tlg0627.tlg046.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0627/tlg046/tlg0627.tlg046.1st1K-grc1.xml,prose-philosophy,div-based,section,,
tlg0627.tlg047.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0627/tlg047/tlg0627.tlg047.1st1K-grc1.xml,prose-philosophy,div-based,chapter,,
tlg0627.tlg048.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0627/tlg048/tlg0627.tlg048.1st1K-grc1.xml,prose-philosophy,div-based,chapter,,
tlg0627.tlg049.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0627/tlg049/tlg0627.tlg049.1st1K-grc1.xml,prose-philosophy,div-based,chapter,,
tlg0627.tlg050.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0627/tlg050/tlg0627.tlg050.1st1K-grc1.xml,prose-philosophy,div-based,chapter,,
tlg0627.tlg051.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0627/tlg051/tlg0627.tlg051.1st1K-grc1.xml,prose-philosophy,div-based,chapter,,
tlg0627.tlg052.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0627/tlg052/tlg0627.tlg052.1st1K-grc1.xml,prose-philosophy,div-based,chapter,,
tlg0627.tlg053.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0627/tlg053/tlg0627.tlg053.1st1K-grc1.xml,prose-philosophy,div-based,chapter,,
tlg0627.tlg055.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0627/tlg055/tlg0627.tlg055.1st1K-grc1.xml,prose-epistolary,div-based,chapter,,
tlg0628.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0628/tlg001/tlg0628.tlg001.1st1K-grc1.xml,prose-philosophy,div-based,section,,
tlg0628.tlg002.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0628/tlg002/tlg0628.tlg002.1st1K-grc1.xml,prose-philosophy,div-based,fragment,,
tlg0628.tlg003.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0628/tlg003/tlg0628.tlg003.1st1K-grc1.xml,prose-epistolary,div-based,letter|section,,
tlg0629.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0629/tlg001/tlg0629.tlg001.1st1K-grc1.xml,prose-epistolary,div-based,epistle,,
tlg0632.tlg002.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0632/tlg002/tlg0632.tlg002.1st1K-grc1.xml,prose-epistolary,div-based,epistle,,
tlg0633.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0633/tlg001/tlg0633.tlg001.1st1K-grc1.xml,prose-epistolary,div-based,section,,
tlg0634.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0634/tlg001/tlg0634.tlg001.1st1K-grc1.xml,prose-philosophy,div-based,fragment,,
tlg0636.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0636/tlg001/tlg0636.tlg001.1st1K-grc1.xml,prose-epistolary,div-based,epistle|section,,
tlg0637.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0637/tlg001/tlg0637.tlg001.1st1K-grc1.xml,prose-epistolary,div-based,epistle|section,,
tlg0639.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0639/tlg001/tlg0639.tlg001.1st1K-grc1.xml,prose-epistolary,div-based,section,,
tlg0640.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0640/tlg001/tlg0640.tlg001.1st1K-grc1.xml,prose-epistolary,div-based,book|section,,
tlg0643.opp001.1st1K-lat1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0643/opp001/tlg0643.opp001.1st1K-lat1.xml,prose-philosophy,div-based,paragraph,,
tlg0643.opp002.1st1K-lat1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0643/opp002/tlg0643.opp002.1st1K-lat1.xml,prose-philosophy,div-based,paragraph,,
tlg0643.opp003.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0643/opp003/tlg0643.opp003.1st1K-grc1.xml,prose-philosophy,div-based,section,,
tlg0643.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0643/tlg001/tlg0643.tlg001.1st1K-grc1.xml,prose-philosophy,div-based,section,,
tlg0643.tlg001.1st1K-grc2,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0643/tlg001/tlg0643.tlg001.1st1K-grc2.xml,prose-philosophy,div-based,sigla,,
tlg0643.tlg001.1st1K-lat1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0643/tlg001/tlg0643.tlg001.1st1K-lat1.xml,prose-philosophy,div-based,paragraph,,
tlg0643.tlg001.1st1K-mul1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0643/tlg001/tlg0643.tlg001.1st1K-mul1.xml,prose-philosophy,div-based,paragraph,,
tlg0643.tlg001.1st1K-mul2,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0643/tlg001/tlg0643.tlg001.1st1K-mul2.xml,prose-philosophy,div-based,index|paragraph,,
tlg0643.tlg002.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0643/tlg002/tlg0643.tlg002.1st1K-grc1.xml,prose-philosophy,div-based,section,,
tlg0644.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0644/tlg001/tlg0644.tlg001.1st1K-grc1.xml,prose-philosophy,div-based,chapter|section,,
tlg0645.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0645/tlg001/tlg0645.tlg001.1st1K-grc1.xml,prose-oratory,div-based,chapter,,
tlg0645.tlg002.perseus-grc2,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0645/tlg002/tlg0645.tlg002.perseus-grc2.xml,prose-oratory,mixed,chapter,altsection,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0645.tlg003.perseus-grc2,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0645/tlg003/tlg0645.tlg003.perseus-grc2.xml,prose-dialogue,div-based,chapter|section,,
tlg0646.tlg004.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0646/tlg004/tlg0646.tlg004.1st1K-grc1.xml,prose-epistolary,div-based,chapter|section,,
tlg0649.tlg002.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0649/tlg002/tlg0649.tlg002.1st1K-grc1.xml,prose-oratory,div-based,section,,
tlg0649.tlg003.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0649/tlg003/tlg0649.tlg003.1st1K-grc1.xml,prose-oratory,div-based,section,,
tlg0656.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0656/tlg001/tlg0656.tlg001.1st1K-grc1.xml,prose-philosophy,div-based,book|chapter|section,,
tlg0656.tlg002.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0656/tlg002/tlg0656.tlg002.1st1K-grc1.xml,prose-philosophy,div-based,book|chapter|section,,
tlg0657.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0657/tlg001/tlg0657.tlg001.1st1K-grc1.xml,prose-philosophy,div-based,chapter|section,,
tlg0658.tlg001.perseus-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0658/tlg001/tlg0658.tlg001.perseus-grc1.xml,prose-historiography,div-based,book|chapter,,
tlg0666.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0666/tlg001/tlg0666.tlg001.1st1K-grc1.xml,prose-oratory,div-based,section,,
tlg0671.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0671/tlg001/tlg0671.tlg001.1st1K-grc1.xml,prose-philosophy,mixed,chapter|section,fol.265v|fol.2661|fol.266v|fol.267v|fol.267ʳ|fol.268v|fol.268ʳ|fol.269r|fol.269v|fol.270r|fol.270v|fol.271v|fol.271ʳ|fol.272r|fol.272v|fol.273r|fol.273v|fol.274v|fol.275v|fol.275ʳ|fol.276r|fol.276v|fol.277v|fol.277ʳ|fol.278v|fol.278ʳ|fol.279v|fol.280v|fol.281v|fol.282v|fol.282ʳ|fol.283v|fol.284r|fol.284v|fol.285v|fol.286r|fol.286v|fol.287r,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0676.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0676/tlg001/tlg0676.tlg001.1st1K-grc1.xml,verse-didactic,unknown,,,No <div type='textpart'> or <milestone> elements found; document appears unstructured.
tlg0693.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0693/tlg001/tlg0693.tlg001.1st1K-grc1.xml,prose-philosophy,div-based,chapter,,
tlg0693.tlg002.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0693/tlg002/tlg0693.tlg002.1st1K-grc1.xml,prose-dialogue,div-based,chapter,,
tlg0708.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0708/tlg001/tlg0708.tlg001.1st1K-grc1.xml,prose-philosophy,div-based,chapter|section,,
tlg0731.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0731/tlg001/tlg0731.tlg001.1st1K-grc1.xml,prose-philosophy,div-based,book|section,,
tlg0731.tlg003.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0731/tlg003/tlg0731.tlg003.1st1K-grc1.xml,prose-philosophy,div-based,book|section,,
tlg0732.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0732/tlg001/tlg0732.tlg001.1st1K-grc1.xml,prose-philosophy,div-based,section,,
tlg0732.tlg003.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0732/tlg003/tlg0732.tlg003.1st1K-grc1.xml,prose-philosophy,div-based,chapter|section,,
tlg0732.tlg004.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0732/tlg004/tlg0732.tlg004.1st1K-grc1.xml,prose-philosophy,mixed,chapter,volume,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0732.tlg005.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0732/tlg005/tlg0732.tlg005.1st1K-grc1.xml,prose-philosophy,div-based,page,,
tlg0732.tlg006.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0732/tlg006/tlg0732.tlg006.1st1K-grc1.xml,prose-philosophy,div-based,chapter,,
tlg0732.tlg007.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0732/tlg007/tlg0732.tlg007.1st1K-grc1.xml,prose-philosophy,div-based,chapter,,
tlg0732.tlg008.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0732/tlg008/tlg0732.tlg008.1st1K-grc1.xml,prose-philosophy,div-based,chapter,,
tlg0732.tlg010.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0732/tlg010/tlg0732.tlg010.1st1K-grc1.xml,prose-philosophy,div-based,work|paragraph,,
tlg0732.tlg011.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0732/tlg011/tlg0732.tlg011.1st1K-grc1.xml,prose-philosophy,div-based,section|sentence,,
tlg0732.tlg012.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0732/tlg012/tlg0732.tlg012.1st1K-grc1.xml,prose-philosophy,div-based,book|chapter|section,,
tlg0732.tlg012.1st1K-grc2,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0732/tlg012/tlg0732.tlg012.1st1K-grc2.xml,prose-philosophy,mixed,quaestio|essay,ed1page|lineno,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0732.tlg013.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0732/tlg013/tlg0732.tlg013.1st1K-grc1.xml,prose-philosophy,div-based,chapter,,
tlg0732.tlg014.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0732/tlg014/tlg0732.tlg014.1st1K-grc1.xml,prose-philosophy,div-based,section,,
tlg0732.tlgX01.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0732/tlgX01/tlg0732.tlgX01.1st1K-grc1.xml,prose-philosophy,div-based,page,,
tlg0733.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0733/tlg001/tlg0733.tlg001.1st1K-grc1.xml,prose-philosophy,div-based,section,,
tlg0751.tlg005.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0751/tlg005/tlg0751.tlg005.1st1K-grc1.xml,prose-philosophy,div-based,section,,
tlg0751.tlg034.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0751/tlg034/tlg0751.tlg034.1st1K-grc1.xml,prose-philosophy,div-based,chapter,,
tlg1118.tlg003.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg1118/tlg003/tlg1118.tlg003.1st1K-grc1.xml,prose-philosophy,div-based,chapter|section,,
tlg1126.tlg003.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg1126/tlg003/tlg1126.tlg003.1st1K-grc1.xml,verse-didactic,div-based,work,,
tlg1129.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg1129/tlg001/tlg1129.tlg001.1st1K-grc1.xml,prose-philosophy,div-based,section,,
tlg1131.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg1131/tlg001/tlg1131.tlg001.1st1K-grc1.xml,prose-oratory,div-based,section|paragraph,,
tlg1134.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg1134/tlg001/tlg1134.tlg001.1st1K-grc1.xml,prose-philosophy,div-based,section|fragment,,
tlg1146.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg1146/tlg001/tlg1146.tlg001.1st1K-grc1.xml,prose-philosophy,div-based,fragment,,
tlg1147.tlg003.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg1147/tlg003/tlg1147.tlg003.1st1K-grc1.xml,prose-philosophy,div-based,fragment,,
tlg1181.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg1181/tlg001/tlg1181.tlg001.1st1K-grc1.xml,prose-philosophy,div-based,chapter,,
tlg1188.tlg002.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg1188/tlg002/tlg1188.tlg002.1st1K-grc1.xml,prose-philosophy,div-based,fragment,,
tlg1193.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg1193/tlg001/tlg1193.tlg001.1st1K-grc1.xml,prose-philosophy,div-based,fragment,,
tlg1194.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg1194/tlg001/tlg1194.tlg001.1st1K-grc1.xml,prose-philosophy,div-based,book|line,,
tlg1205.tlg001.perseus-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg1205/tlg001/tlg1205.tlg001.perseus-grc1.xml,prose-oratory,mixed,chapter,altnumbering,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg1205.tlg001.perseus-grc2,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg1205/tlg001/tlg1205.tlg001.perseus-grc2.xml,prose-oratory,div-based,chapter|section,,
tlg1205.tlg002.perseus-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg1205/tlg002/tlg1205.tlg002.perseus-grc1.xml,prose-philosophy,mixed,chapter,altnumbering,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg1205.tlg002.perseus-grc2,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg1205/tlg002/tlg1205.tlg002.perseus-grc2.xml,prose-philosophy,div-based,chapter|section,,
tlg1210.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg1210/tlg001/tlg1210.tlg001.1st1K-grc1.xml,prose-philosophy,div-based,chapter|section,,
tlg1210.tlg002.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg1210/tlg002/tlg1210.tlg002.1st1K-grc1.xml,prose-philosophy,div-based,book|chapter|section,,
tlg1216.tlg001.opp-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg1216/tlg001/tlg1216.tlg001.opp-grc1.xml,prose-epistolary,div-based,chapter|section,,
tlg1220.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg1220/tlg001/tlg1220.tlg001.1st1K-grc1.xml,verse-epic,unknown,,,No <div type='textpart'> or <milestone> elements found; document appears unstructured.
tlg1247.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg1247/tlg001/tlg1247.tlg001.1st1K-grc1.xml,prose-philosophy,div-based,chapter|section,,
tlg1252.tlg002.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg1252/tlg002/tlg1252.tlg002.1st1K-grc1.xml,verse-epic,div-based,book,,
tlg1264.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg1264/tlg001/tlg1264.tlg001.1st1K-grc1.xml,prose-philosophy,div-based,fragment,,
tlg1264.tlg002.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg1264/tlg002/tlg1264.tlg002.1st1K-grc1.xml,prose-philosophy,div-based,fragment,,
tlg1264.tlg003.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg1264/tlg003/tlg1264.tlg003.1st1K-grc1.xml,prose-philosophy,div-based,fragment,,
tlg1264.tlg004.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg1264/tlg004/tlg1264.tlg004.1st1K-grc1.xml,prose-philosophy,div-based,fragment,,
tlg1269.tlg002.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg1269/tlg002/tlg1269.tlg002.1st1K-grc1.xml,prose-philosophy,div-based,fragment,,
tlg1271.tlg001.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg1271/tlg001/tlg1271.tlg001.1st1K-grc1.xml,prose-epistolary,div-based,chapter|section,,
tlg1271.tlg002.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg1271/tlg002/tlg1271.tlg002.1st1K-grc1.xml,prose-epistolary,div-based,chapter|section,,
tlg1271.tlg003.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg1271/tlg003/tlg1271.tlg003.1st1K-grc1.xml,prose-epistolary,div-based,section,,
tlg1271.tlg004.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg1271/tlg004/tlg1271.tlg004.1st1K-grc1.xml,prose-oratory,div-based,section,,
tlg1271.tlg005.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg1271/tlg005/tlg1271.tlg005.1st1K-grc1.xml,prose-epistolary,div-based,section,,
tlg1271.tlg006.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg1271/tlg006/tlg1271.tlg006.1st1K-grc1.xml,prose-oratory,div-based,chapter|section,,
tlg1271.tlg010.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg1271/tlg010/tlg1271.tlg010.1st1K-grc1.xml,prose-epistolary,div-based,book|chapter|section,,
tlg1271.tlg011.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg1271/tlg011/tlg1271.tlg011.1st1K-grc1.xml,prose-biography,div-based,section,,
tlg1271.tlg012.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg1271/tlg012/tlg1271.tlg012.1st1K-grc1.xml,prose-historiography,div-based,section,,
