urn,path,genre,structural_type,div_subtypes,milestone_units,issues
tlg0018.tlg014.1st1K-eng1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg014/tlg0018.tlg014.1st1K-eng1.xml,prose-philosophy,mixed,section,chapter,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg014.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg014/tlg0018.tlg014.1st1K-grc1.xml,prose-philosophy,mixed,section,altpage1|altpage2|altref,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg015.1st1K-eng1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg015/tlg0018.tlg015.1st1K-eng1.xml,prose-philosophy,mixed,section,chapter,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg015.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg015/tlg0018.tlg015.1st1K-grc1.xml,prose-philosophy,mixed,section,altpage1|altpage2|altref,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg016.1st1K-eng1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg016/tlg0018.tlg016.1st1K-eng1.xml,prose-philosophy,mixed,section,chapter,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg016.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg016/tlg0018.tlg016.1st1K-grc1.xml,prose-philosophy,mixed,section,altpage1|altpage2|altref,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg017.1st1K-eng1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg017/tlg0018.tlg017.1st1K-eng1.xml,prose-philosophy,mixed,section,chapter,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg017.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg017/tlg0018.tlg017.1st1K-grc1.xml,prose-philosophy,mixed,section,altpage1|altpage2|altref,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg018.1st1K-eng1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg018/tlg0018.tlg018.1st1K-eng1.xml,prose-philosophy,mixed,section,chapter,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg018.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg018/tlg0018.tlg018.1st1K-grc1.xml,prose-philosophy,mixed,section,altpage1|altpage2|altref,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg019.1st1K-eng1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg019/tlg0018.tlg019.1st1K-eng1.xml,prose-philosophy,mixed,book|section,chapter,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg019.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg019/tlg0018.tlg019.1st1K-grc1.xml,prose-philosophy,mixed,book|section,altpage1|altpage2|altref,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg020.1st1K-eng1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg020/tlg0018.tlg020.1st1K-eng1.xml,prose-philosophy,mixed,section,chapter,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg020.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg020/tlg0018.tlg020.1st1K-grc1.xml,prose-philosophy,mixed,section,altpage1|altpage2|altref,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg021.1st1K-eng1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg021/tlg0018.tlg021.1st1K-eng1.xml,prose-philosophy,mixed,section,chapter,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg021.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg021/tlg0018.tlg021.1st1K-grc1.xml,prose-philosophy,mixed,section,altpage1|altpage2|altref,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg022.1st1K-eng1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg022/tlg0018.tlg022.1st1K-eng1.xml,prose-biography,mixed,book|section,chapter|nextchapter|oldchapter,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg022.1st1K-grc1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg022/tlg0018.tlg022.1st1K-grc1.xml,prose-biography,mixed,book|section,altpage1|altpage2|altref,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
tlg0018.tlg023.1st1K-eng1,/Users/wulfmanc/repos/gh/PerseusDLCode/data-local/First1KGreek/data/tlg0018/tlg023/tlg0018.tlg023.1st1K-eng1.xml,prose-philosophy,mixed,section,chapter,Document uses both <div type='textpart'> and <milestone> elements; citation may be ambiguous.
