element,genre,file_count,instance_count
change,verse-iambic,2,4
correction,verse-didactic,4,4
correction,verse-epic,4,4
date,verse-iambic,2,4
date,verse-lyric-pindaric,3,4
editorialDecl,verse-didactic,4,4
editorialDecl,verse-epic,4,4
head,verse-lyric-pindaric,3,4
label,verse-iambic,1,4
list,prose-geography,3,4
listBibl,attic-tragedy,3,4
meeting,verse-epic,4,4
p,attic-comedy,1,4
pc,prose-biography,1,4
principal,verse-epigram,3,4
publisher,verse-iambic,2,4
rdg,prose-geography,1,4
ref,verse-iambic,2,4
title,verse-iambic,2,4
TEI,verse-lyric-pindaric,3,3
add,prose-dialogue,1,3
authority,verse-lyric-pindaric,3,3
authority,verse-epigram,3,3
availability,verse-lyric-pindaric,3,3
biblStruct,verse-lyric-pindaric,3,3
body,verse-lyric-pindaric,3,3
cRefPattern,verse-iambic,2,3
desc,prose-geography,3,3
encodingDesc,verse-lyric-pindaric,3,3
fileDesc,verse-lyric-pindaric,3,3
funder,verse-lyric-pindaric,3,3
imprint,verse-lyric-pindaric,3,3
langUsage,verse-lyric-pindaric,3,3
licence,verse-lyric-pindaric,3,3
listBibl,prose-dialogue,3,3
listBibl,verse-lyric-pindaric,3,3
listBibl,verse-epigram,3,3
meeting,prose-epistolary,3,3
monogr,verse-lyric-pindaric,3,3
msIdentifier,prose-biography,2,3
name,verse-epigram,3,3
normalization,prose-epistolary,3,3
normalization,verse-epic,3,3
orgName,verse-lyric-monodic,1,3
orgName,prose-dialogue,2,3
pb,unknown,1,3
principal,verse-lyric-pindaric,3,3
profileDesc,verse-lyric-pindaric,3,3
pubPlace,verse-iambic,2,3
publicationStmt,verse-lyric-pindaric,3,3
quotation,verse-epic,3,3
ref,verse-lyric-pindaric,3,3
refsDecl,verse-lyric-pindaric,3,3
series,verse-epic,3,3
sic,prose-geography,3,3
sourceDesc,verse-lyric-pindaric,3,3
sponsor,verse-epic,3,3
sponsor,prose-geography,3,3
teiHeader,verse-lyric-pindaric,3,3
text,verse-lyric-pindaric,3,3
titleStmt,verse-lyric-pindaric,3,3
TEI,verse-iambic,2,2
ab,prose-oratory,2,2
abstract,prose-oratory,2,2
add,verse-iambic,1,2
addName,prose-philosophy,2,2
app,prose-geography,1,2
author,verse-elegiac,1,2
author,attic-comedy,1,2
author,unknown,1,2
availability,verse-iambic,2,2
biblScope,verse-epigram,2,2
biblScope,verse-lyric-pindaric,2,2
biblStruct,verse-iambic,2,2
body,verse-iambic,2,2
change,verse-lyric-pindaric,2,2
choice,prose-geography,2,2
cit,prose-oratory,1,2
correction,verse-iambic,2,2
correction,verse-epigram,2,2
correction,prose-geography,2,2
correction,prose-historiography,2,2
country,prose-biography,2,2
date,verse-elegiac,1,2
date,attic-comedy,1,2
date,unknown,1,2
del,verse-lyric-pindaric,1,2
del,prose-dialogue,1,2
div,unknown,1,2
edition,prose-epistolary,2,2
editor,verse-elegiac,1,2
editor,attic-comedy,1,2
editor,unknown,1,2
editorialDecl,verse-iambic,2,2
editorialDecl,verse-epigram,2,2
editorialDecl,prose-geography,2,2
editorialDecl,prose-historiography,2,2
emph,verse-epic,1,2
encodingDesc,verse-iambic,2,2
figure,prose-oratory,1,2
fileDesc,verse-iambic,2,2
funder,verse-iambic,2,2
idno,verse-iambic,2,2
imprint,verse-iambic,2,2
langUsage,verse-iambic,2,2
language,unknown,1,2
lg,prose-epistolary,1,2
licence,verse-iambic,2,2
meeting,prose-dialogue,2,2
meeting,prose-geography,2,2
milestone,verse-epic,1,2
monogr,verse-iambic,2,2
msDesc,prose-biography,2,2
name,verse-elegiac,1,2
name,attic-comedy,1,2
normalization,prose-oratory,2,2
normalization,prose-biography,2,2
num,attic-tragedy,1,2
num,prose-epistolary,1,2
p,unknown,1,2
particDesc,prose-philosophy,2,2
principal,unknown,1,2
profileDesc,verse-iambic,2,2
pubPlace,verse-elegiac,1,2
pubPlace,attic-comedy,1,2
pubPlace,unknown,1,2
publicationStmt,verse-iambic,2,2
publisher,verse-elegiac,1,2
publisher,attic-comedy,1,2
publisher,unknown,1,2
quotation,prose-epistolary,2,2
quotation,prose-oratory,2,2
quotation,prose-biography,2,2
ref,verse-elegiac,1,2
ref,attic-comedy,1,2
