element,attribute,genre,value,count
listBibl,lang,prose-geography,lat,7
name,lang,prose-geography,deu,7
name,lang,prose-philosophy,deu,7
note,type,verse-epigram,marginal,7
p,rend,prose-epistolary,center,7
persName,lang,prose-philosophy,deu,7
publisher,lang,prose-oratory,deu,7
q,lang,verse-epic,grc,7
q,lang,verse-epic,deu,7
quote,lang,prose-philosophy,lat,7
quote,rend,prose-philosophy,align(indent),7
title,lang,verse-lyric-pindaric,lat,7
w,type,prose-biography,PPERI,7
TEI,lang,prose-philosophy,eng,6
bibl,lang,prose-philosophy,fre,6
biblScope,unit,verse-lyric-monodic,volume,6
date,type,prose-philosophy,range,6
div,lang,verse-lyric-monodic,grc,6
div,subtype,verse-epigram,chapter,6
div,type,prose-geography,translation,6
div,type,verse-lyric-monodic,edition,6
editor,lang,prose-philosophy,lat,6
editor,lang,prose-philosophy,deu,6
editor,role,prose-oratory,translator,6
editor,role,prose-philosophy,editor,6
gap,rend,prose-oratory,. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,6
idno,type,verse-lyric-monodic,filename,6
language,ident,verse-lyric-monodic,grc,6
milestone,unit,prose-oratory,altsection,6
milestone,unit,prose-philosophy,ed1folio,6
name,lang,prose-philosophy,eng,6
note,lang,prose-oratory,lat,6
note,type,prose-historiography,marginaDl,6
note,type,prose-oratory,translation,6
persName,lang,prose-philosophy,fre,6
persName,role,prose-dialogue,principal,6
persName,role,prose-historiography,principal,6
persName,role,verse-epigram,principal,6
persName,role,verse-iambic,principal,6
q,rend,prose-biography,single,6
sp,rend,verse-elegiac,merge; align(indent),6
teiHeader,lang,verse-lyric-monodic,eng,6
title,lang,prose-historiography,mul,6
title,lang,verse-didactic,mul,6
title,rend,verse-epic,italic,6
date,type,prose-dialogue,release,5
div,lang,prose-philosophy,deu,5
div,lang,verse-epigram,grc,5
div,subtype,attic-tragedy,trochees,5
div,type,verse-epigram,edition,5
emph,rend,prose-philosophy,spaced,5
foreign,lang,prose-historiography,lat,5
foreign,lang,prose-philosophy,mul,5
head,rend,verse-iambic,center,5
hi,rend,prose-philosophy,supraline,5
idno,type,attic-tragedy,filename,5
idno,type,verse-epigram,filename,5
language,ident,prose-biography,eng,5
language,ident,prose-dialogue,lat,5
language,ident,prose-geography,eng,5
language,ident,verse-didactic,eng,5
language,ident,verse-didactic,deu,5
language,ident,verse-epigram,lat,5
language,ident,verse-epigram,grc,5
language,ident,verse-lyric-monodic,lat,5
lg,rend,prose-philosophy,blockquote;figure,5
listBibl,lang,prose-philosophy,lat,5
milestone,ed,prose-philosophy,v1,5
note,type,prose-historiography,margina,5
note,type,prose-philosophy,altnum,5
p,rend,prose-oratory,center,5
p,rend,prose-oratory,align(indent),5
p,rend,prose-philosophy,align (center),5
pb,ed,prose-philosophy,P,5
pb,ed,prose-philosophy,M,5
publisher,lang,prose-philosophy,lat,5
quote,rend,prose-philosophy,small,5
quote,rend,prose-philosophy,indent,5
teiHeader,lang,verse-epigram,eng,5
title,lang,prose-epistolary,grc,5
title,lang,verse-lyric-monodic,grc,5
title,rend,prose-philosophy,italic,5
title,type,prose-epistolary,s,5
title,type,prose-epistolary,m,5
w,type,prose-biography,VBD,5
w,type,prose-biography,FUT,5
author,lang,prose-dialogue,lat,4
author,lang,prose-geography,lat,4
author,lang,verse-epigram,lat,4
author,lang,verse-lyric-pindaric,lat,4
date,type,prose-epistolary,printing,4
div,lang,prose-biography,eng,4
div,lang,prose-geography,lat,4
div,lang,prose-historiography,lat,4
div,lang,verse-didactic,eng,4
div,subtype,prose-geography,fragment,4
div,subtype,prose-philosophy,essay,4
div,subtype,verse-lyric-pindaric,section,4
div,type,prose-biography,commentary,4
div,type,prose-biography,apparatus,4
div,type,verse-didactic,commentary,4
editor,role,prose-historiography,translator,4
emph,rend,prose-philosophy,italic,4
foreign,lang,prose-philosophy,fre,4
foreign,lang,prose-philosophy,eng,4
gap,rend,prose-philosophy,*,4
head,lang,prose-epistolary,lat,4
hi,rend,attic-tragedy,sup,4
label,rend,verse-iambic,bold,4
language,ident,verse-epic,deu,4
lg,rend,prose-philosophy,merge,4
list,type,prose-geography,index,4
listBibl,lang,prose-oratory,lat,4
milestone,unit,prose-philosophy,42,4
note,type,prose-historiography,margnal,4
note,type,prose-philosophy,margipnal,4
note,type,prose-philosophy,footnote1,4
pubPlace,lang,prose-philosophy,deu,4
q,rend,prose-philosophy,signle,4
q,type,prose-philosophy,single,4
quote,lang,verse-epic,deu,4
